abruptly,"adv.突然地"
resemble,"v.像,类似"
reserve,"v.储备,保留;预定"
reservior,"n.水库;蓄水池"
residence,"n.居住;驻扎;住处"
resident,"adj.居住的;n.居民"
resign,"v.放弃;v.辞职"
resist,"vt&vi.抵抗,抵制"
resistance,"n.抵抗;抵制;抵抗力"
resistant,"adj.抵抗的,反抗的"
resolution,"n.坚决,坚定;决定"
resolve,"v.解决;决心;n.决心"
resort,"vi&n.求助,凭借;诉诸于"
respective,"adj.各自的,各个的"
respectively,"adv.各自地,分别地"
respond,"v.作答;响应"
response,"n.作答,回答;响应"
restless,"adj.不安定的,焦虑的"
restore,"v.恢复;归还;修补"
restrain,"v.抑制,遏制;限制"
restraint,"n.抑制;遏制;克制"
restrict,"v.vt限制,限定,约束"
resume,"v.恢复;重新开始"
retain,"v.保持,保留,保有"
retire,"v.退下;引退;就寝"
retreat,"v.(被迫)退却,后退"
reveal,"v.展现;揭示,揭露"
reverse,"v.颠倒,翻转;n.背面"
review,"v.再检查;n.复习"
revise,"v.修订,校订;修改"
revolt,"vi&n.反抗,造反"
revolution,"n.革命;旋转,绕转"
revolutionary,"adj.革命的;n.革命者"
reward,"n.报答;报酬;v.报答"
rhythm,"n.韵律,格律;节奏"
rib,"n.肋,肋骨"
ribbon,"n.缎带,丝带;带"
rid,"v.使摆脱,使去掉"
ridge,"n.脊;岭,山脉;垄"
ridiculous,"adj.荒谬的,可笑的"
rifle,"n.步枪,来复枪"
rigid,"adj.刚硬的;僵硬的"
ripe,"adj.熟的;时机成熟的"
risk,"n.风险,危险,冒险"
rival,"n.竞争者;adj.竞争的"
roar,"v.吼叫;呼喊;n.吼"
roast,"vt&vi.烤,炙,烘"
robot,"n.机器人;自动机"
rocket,"n.n.;n.火箭,火箭发动机"
rod,"n.杆,竿,棒"
roll,"vi&vt.滚动;转动"
roller,"n.滚柱,滚筒,滚轴"
Roman,"n.古罗马人;adj.罗马的"
romantic,"adj.浪漫的;传奇的"
rotary,"adj.旋转的,转动的"
rotate,"v.旋转;v.使旋转"
rotation,"n.旋转,转动;循环"
rotten,"adj.腐烂的,发臭的"
rough,"adj.表面不平的;粗略的"
rouse,"v.唤醒,唤起;惊起"
route,"n.路,路线,路程"
routine,"n.例行公事;adj.日常的"
row,"n.(一)排,(一)行"
royal,"adj.王的;皇家的"
rug,"n.小地毯;毛毯"
rural,"adj.农村的,田园的"
rush,"v.冲,奔;v.催促"
rust,"n.锈;v.生锈,氧化"
sack,"n.袋,麻袋;开除"
sacrifice,"n&vt.牺牲;南祭"
saddle,"n.鞍子,马鞍"
sail,"n.帆;船;v.航行"
sake,"n.缘故,理由"
sample,"n.样品;实例,标本"
satellite,"n.卫星;人造卫星"
satisfactory,"adj.令人满意的,良好的"
saucer,"n.茶托,浅碟"
sausage,"n.香肠,腊肠"
saw,"n.锯子;v.锯,锯开"
say,"v.比如说[用于举例]"
scale,"n.天平,磅秤,秤"
scan,"v.细看;浏览;扫描"
scarcely,"adv.仅仅;几乎不"
scatter,"v.使消散;撒;散播"
scenery,"n.舞台布景;风景"
schedule,"n.时间表;计划表"
scheme,"n.计划,规划;诡计"
scholar,"n.学者(尤指文学方面)"
scientific,"adj.科学(上)的"
scissors,"n.剪刀,剪子"
score,"n.得分,比数,成绩"
scout,"n.侦察员,侦察机"
scrape,"vt&vi&n.刮,擦"
scratch,"vt&vi&n.搔;抓"
screw,"n.螺旋,螺丝;v.拧紧"
seal,"n.封蜡;印记;v.封"
secondary,"adj.第二的;次要的"
secretary,"n.秘书;书记;大臣"
section,"n.切片;一段;部门"
secure,"adj.安心的;安全的"
security,"n.安全,安全感"
seed,"n.种(子),籽,萌芽"
seek,"v.寻找,探索;试图"
seize,"v.抓住,逮捕;夺取"
semiconductor,"n.n.;n.半导体"
senate,"n.参议院,上院"
senior,"adj.年少的;地位较高的"
sensible,"adj.感觉得到的;明智的"
sensitive,"adj.敏感的;灵敏的"
separate,"adj.分离的;个别的"
sequence,"n.连续,继续;次序"
series,"n.连续,系列;丛书"
serve,"vt.为…服务;招待"
session,"n.会议,一段时间"
setting,"n.安装,调整;环境"
settle,"v.安排;安放;调停"
settlement,"n.解决;殖民,殖民地"
severe,"adj.严格的;严厉的"
sew,"v.缝制;v.缝纫"
shade,"n.荫;遮光物;v.荫蔽"
shave,"v.剃,刮;v.修面"
shear,"v.剪;剥夺;v.剪"
shed,"vt.流出;散发;脱落"
sheet,"n.被单;纸张;薄板"
shelf,"n.搁板,架子"
shelter,"n.隐蔽处;掩蔽,庇护"
shield,"n.盾;防护物;v.保护"
shift,"v.替换,转移;n.转换"
shiver,"v.颤抖,哆嗦;n.冷颤"
shoot,"v.发射;射中;n.发芽"
shore,"n.滨,岸"
shortage,"n.不足,缺少,不足额"
shortly,"adv.立刻;简短地"
shot,"n.发射;弹丸;射门"
shower,"n.阵雨;(一)阵;淋浴"
shriek,"v.尖声喊叫;n.尖叫声"
sideways,"adv.斜着,斜向一边地"
sightseeing,"n.观光,游览"
sign,"n.符号;招牌;n.签名"
signal,"n.信号;v.发信号"
signature,"n.署名,签字,签名"
significance,"n.意义,意味;重要性"
significant,"n.有意义的;重要的"
silence,"n.沉默;v.使沉默"
silent,"adj.沉默的;寂静无声的"
silk,"n.蚕丝,丝,丝织品"
silly,"adj.傻的,愚蠢的"
silver,"n.银;银子;银器"
similar,"adj.相似的,类似的"
similarly,"adv.类似地,相似地"
simplicity,"n.简单,简易;朴素"
simplify,"v.简化,使单纯"
simply,"adv.简单地;朴素地"
sincere,"adj.真诚的;真挚的"
singular,"adj.单一的;非凡的"
site,"n.地点,地基;场所"
sketch,"n.略图;速写;概略"
skilled,"adj.有技能的,熟练的"
skillful,"adj.灵巧的,娴熟的"
skim,"v.掠过,擦过;略读"
slam,"v.使劲关,砰地放下"
sleeve,"n.袖子,袖套"
slender,"adj.细长的;微薄的"
slice,"n.薄片,切片;部分"
slide,"v.滑;v.使滑动;n.滑"
slippery,"adj.滑的,使人滑跤的"
slit,"n.裂缝;v.切开,撕开"
slope,"n.倾斜;斜面;v.倾斜"
smart,"adj.巧妙的;洒脱的"
soak,"v.浸,泡;v.浸泡"
soil,"v.弄脏;v.变脏"
solar,"adj.太阳的,日光的"
sole,"n.脚底,鞋底,袜底"
solemn,"adj.庄严的;隆重的"
solid,"adj.固体的;n.固体"
soluble,"adj.可溶的;可以解决的"
solution,"n.解决,解答;溶解"
solve,"v.解答,解释,解决"
somebody,"pron.某人,有人"
somehow,"adv.由于某种原因"
sometime,"adv.在某一时候;从前"
somewhat,"pron.一点儿;adv.有点"
sophisticated,"adj.老于世故的;高级的"
sore,"adj.痛的;恼火的;n.疮"
sorrow,"n.悲痛,悲哀,悲伤"
sort,"n.种类;类别;v.整理"
sound,"adj.健康的;完好的"
sour,"adj.酸的;脾气坏的"
sow,"v.播(种);v.播种"
spacecraft,"n.航天器,宇宙飞船"
spade,"n.铲,铁锹"
span,"n.跨距;一段时间"
spare,"v.节约;adj.多余的"
spark,"n.火花,;n.火星"
specialist,"n.专家"
specialize,"v.成为…专家;专攻"
specific,"adj.特有的;具体的"
specify,"v.指定,详细说明"
specimen,"n.样本,标本,样品"
sphere,"n.球,圆体;范围"
spill,"v.使溢出;v.溢出"
spin,"v.纺;使旋转;n.旋转"
spite,"n.n.;n.恶意,怨恨,不顾;n.vt.;n.刁难,欺侮"
split,"v.劈开;v.被劈开"
spoil,"v.损坏,糟蹋;宠坏"
sponsor,"n.发起者;v.发起"
sportsman,"n.运动员"
spray,"n.浪花;喷雾;v.喷"
spring,"v.跳,跃;n.跳跃;泉"
spur,"n.刺激物;v.刺激"
square,"n.正方形;广场"
squeeze,"vt&vi.榨,挤;压榨"
stability,"n.稳定,稳定性,巩固"
stable,"adj.稳定的,不变的"
stack,"n.堆,垛;v.堆积"
staff,"n.工作人员;参谋"
stage,"n.舞台;戏剧;阶段"
stain,"v.沾污;给…着色"
stair,"n.楼梯"
stake,"n.桩;赌金;奖品"
stale,"n.陈腐的;走了气的"
static,"adj.静的;静态的"
statistical,"adj.统计的,统计学的"
statue,"n.塑像,雕像,铸像"
status,"n.地位,身分"
steady,"adj.稳固的;v.使稳定"
steam,"n.蒸汽;v.蒸发;v.蒸"
steamer,"n.轮船,汽船"
steel,"n.钢,钢铁"
steep,"adj.险峻的,陡峭的"
steer,"vt&vi.驾驶"
stem,"n.茎,(树)干;v.起源"
sticky,"adj.粘性的;胶粘的"
stiff,"adj.硬的;僵直的"
stimulate,"v.刺激,激励,激发"
sting,"v.刺;刺痛;vi&n.刺"
stir,"v.动;拨动;激动"
stock,"n.原料;库存品;股本"
stocking,"n.长(统)袜"
stoop,"v.俯身;弯身;n.弯腰"
storage,"n.贮藏;贮藏量"
store,"n.贮藏;贮存品;商店"
storey,"n.(层)楼"
stove,"n.炉,火炉,电炉"
strain,"v.拉紧;v.尽力"
strange,"adj.陌生的;奇怪的"
stranger,"n.陌生人;新来者"
strap,"n.带子;v.捆扎"
strategy,"n.战略;策略"
straw,"n.稻草,麦杆吸管"
strengthen,"v.加强,巩固"
stress,"n.压力;重音;v.着重"
stretch,"v.伸展;v.伸;n.伸展"
string,"n.线,细绳;一串"
strip,"v.剥;夺去;n.条带"
stripe,"n.条纹,条子"
stroke,"n.打,击;鸣声;中风"
structural,"adj.结构的,构造的"
stuff,"n.材料;v.装,填,塞"
submarine,"adj.水下的;n.潜水艇"
submerge,"v.浸没;v.潜入水中"
submit,"v.使服从;v.服从"
subsequent,"adj.随后的,后来的"
substance,"n.物质;实质;本旨"
substantial,"adj.物质的;坚固的"
substitute,"n.代替人;v.用…代替"
subtract,"v.减,减去,去掉"
subway,"n.地道;地下铁路"
succession,"n.连续;继任,继承"
successive,"adj.连续的;接连的"
suck,"v.吸,吮,啜;吸收"
sufficient,"adj.足够的,充分的"
suit,"n.起拆,诉讼;v.适合"
sulfur,"n.硫(磺),硫黄"
sulphur,"n.硫(磺),硫黄"
sum,"n.总数;金额;v.共计"
summarize,"v.概括,概述,总结"
superficial,"adj.表面的;肤浅的"
superior,"adj.较高的;优越的"
supplement,"n&vt.增补,补充"
suppose,"v.猜想;假定;让"
supreme,"adj.最高的;最大的"
surgery,"n.外科,外科手术"
surrender,"v.交出;v.投降"
surroundings,"n.周围的事物,环境"
survey,"v.俯瞰;检查;测量"
survive,"v.幸免于;v.活下来"
suspect,"v.怀疑;v.疑心"
suspend,"v.吊,悬;推迟"
suspicion,"n.怀疑,疑心,猜疑"
suspicious,"adj.怀疑的;可疑的"
sustain,"v.支撑;供养;忍受"
swallow,"n.燕子"
sway,"v.摇动;v.摇;摇动"
swear,"v.宣(誓);v.诅咒"
sweater,"n.厚运动衫,毛线衫"
sweep,"v.扫;刮起;扫过"
swell,"v.膨胀;隆起;增长"
swift,"adj.快的;反应快的"
swing,"v.摇摆;回转;n.摇摆"
switch,"n.开关;转换;v.转换"
sword,"n.剑,刀"
symbol,"n.象征;符号,记号"
sympathetic,"adj.同情的;和谐的"
sympathize,"v.同情;同感,共鸣"
synthetic,"adj.综合的;合成的"
systematical,"adj.有系统的;有计划的"
tag,"n.附加语;标签"
tailor,"n.裁缝;v.裁制衣服"
tale,"n.故事,传说"
talent,"n.天才;才能;人才"
talk,"v.讲话;v.谈论"
tame,"adj.驯服的;顺从的"
tank,"n.坦克;大容器,槽"
tap,"vt&vi&n.轻叩"
taste,"n.味觉,品味"
technical,"adj.技术的,工艺的"
technician,"n.技术员,技师"
tedious,"adj.冗长乏味的,沉闷的"
telegram,"n.电报"
telescope,"n.望远镜"
temple,"n.圣堂,神殿,庙宇"
temporary,"adj.暂时的,临时的"
tempt,"v.引诱,诱惑;吸引"
temptation,"n.诱惑,引诱"
tend,"v.照管,照料,护理"
tendency,"n.趋向,趋势,倾向"
tender,"adj.嫩的;脆弱的"
tense,"n.时态,时"
tension,"n.n.;n.紧张,不安,拉紧,张力"
terminal,"adj.末端的;n.末端"
terrible,"adj.可怕的;极度的"
territory,"n.领土,版图;领域"
terror,"n.恐怖,惊骇"
textile,"n.n.;n.纺织品;adj.纺织的"
theoretical,"adj.理论(上)的"
thereby,"adv.因此,从而,由此"
therefore,"adv.因此,所以"
thermometer,"n.温度计,寒暑表"
thickness,"n.厚(度);密(度)"
thorough,"adj.彻底的;详尽的"
thoughtful,"adj.沉思的;体贴的"
thread,"n.线;丝;螺纹;头绪"
threat,"n.威胁,恐吓,凶兆"
threaten,"vt&vi.威胁,恐吓"
thrive,"v.兴旺,繁荣,旺盛"
throat,"n.咽喉,喉咙;嗓音"
throughout,"prep.遍及;adv.到处"
thrust,"v.插,刺;n.插;讽刺"
thunder,"n.雷;v.打雷;v.吼出"
thus,"adv.如此,这样;因而"
tide,"n.潮,潮汐;潮流"
tidy,"adj.整洁的;整齐的"
tin,"n.锡;罐头"
tip,"v.轻击;v.给小费"
tire,"v.疲劳,累;厌倦"
tissue,"n.薄绢;薄纸;组织"
toast,"n.烤面包;v.烘,烤"
toe,"n.脚趾,足尖"
toilet,"n.厕所,盥洗室,浴室"
tolerance,"n.忍受,容忍;公差"
tolerate,"v.忍受,容忍,宽恕"
tone,"n.音;腔调;声调"
torch,"n.火炬,火把;手电筒"
torture,"n.拷问;折磨;v.拷打"
total,"adj.总的;v.合计,总共"
touch,"v.触摸;触动;感动;n.触"
tough,"adj.坚韧的;健壮的"
tour,"n&vi.旅行,游历"
tourist,"n.旅游者,观光者"
towel,"n.毛巾,手巾"
tower,"n.塔;v.屹立,高耸"
trace,"n.痕迹;丝毫;v.跟踪"
track,"n.行踪;路径;轨道"
tractor,"n.拖拉机;牵引车"
trade,"n.贸易;职业;v.交易"
traffic,"n.交通,通行;交通量"
tragedy,"n.悲剧;惨事,惨案"
trail,"n.痕迹;小径;v.跟踪"
transfer,"v.转移;调动vi转移"
transform,"v.改变;改造;变换"
transformation,"n.变化;改造;转变"
transformer,"n.变压器,转换器"
transistor,"n.晶体管"
transmission,"n.传送;传动;发射"
transmit,"v.传送,传达;发射"
transparent,"adj.透明的;易识破的"
transport,"v.运输;n.运输"
transportation,"n.运输,运送,客运"
trap,"n.陷阱;诡计;v.诱骗"
tray,"n.(浅)盘,托盘,碟"
treasure,"n.财富;珍宝;v.珍视"
treat,"v.对待;处理;n.款待"
treatment,"n.待遇;治疗,疗法"
treaty,"n.条约;协议,协定"
tremble,"v.发抖,哆嗦;摇动"
tremendous,"adj.极大的,非常的"
trend,"v.伸向;倾向;n.倾向"
trial,"n.试,试验;审判"
triangle,"n.三角(形)"
trick,"n.诡计;窍门;v.哄骗"
trim,"adj.整齐的;v.使整齐"
triumph,"n.凯旋;胜利;v.成功"
troop,"n.军队;一群,大量"
tropical,"adj.热带的"
troublesome,"adj.令人烦恼的;麻烦的"
trumpet,"n.喇叭,小号"
trunk,"n.树干;大衣箱,皮箱"
trust,"n.信任;v.相信;委托"
truth,"n.真理;真实;真实性"
tube,"n.管;电子管,显像管"
tune,"n.调子;和谐;v.调谐"
tunnel,"n.隧道,坑道,地道"
turbine,"n.叶轮机,汽轮机"
twin,"adj.孪生的;n.孪生儿"
twist,"v.捻;拧;vi&n.扭弯"
type,"n.型,类型;v.打字"
typewriter,"n.打字机"
typical,"adj.典型的,代表性的"
typist,"n.打字员"
tyre,"n.轮胎,车胎"
ultimate,"adj.最后的,最终的"
unconscious,"adj.不省人事的"
uncover,"v.揭开…的盖子"
undergo,"v.经历,经受,忍受"
undergraduate,"n.大学在校生"
underline,"v.划线于…之下"
underneath,"adv.在下面,在底下"
undertake,"v.从事;承担;保证"
undo,"v.解开,打开;取消"
undoubtedly,"adv.无容置疑,肯定地"
uneasy,"adj.心神不安的,忧虑的"
unexpected,"adj.想不到的,意外的"
uniform,"adj.一样的;n.制服"
union,"n.联合;团结;协会"
unique,"adj.唯一的,独一无二的"
unit,"n.单位;单元;部件"
unite,"v.联合;v.使联合"
unity,"n.单一;统一;团结"
universal,"adj.宇宙的;普遍的"
unknown,"adj.不知道的;未知的"
unless,"conj.除非,如果不"
unlike,"adj.不同的;prep.不象…"
unlikely,"adj.未必的,未必可能的"
unload,"v.卸(货);v.卸货"
upper,"adj.上面的;地位较高的"
upright,"adj.垂直的;正直的"
upset,"v.弄翻,打翻,倾覆"
upward,"adj.向上的,上升的"
urban,"adj.a.;adj.都市的,住在都市的"
urge,"v.推进;催促;n.冲动"
urgent,"adj.紧急的;强求的"
usage,"n.使用,对待;惯用法"
utility,"n.效用,有用,实用"
utilize,"v.利用"
utmost,"adj.最远的;n.极限"
utter,"adj.完全的,彻底的"
vacant,"adj.空的;未被占用的"
vacuum,"n.真空;真空吸尘器"
vague,"adj.模糊的,含糊的"
vain,"adj.徒劳的;自负的"
valid,"adj.有效的;正当的"
value,"n.价值;价格;v.评价"
van,"n.大篷车,运货车"
vanish,"v.突然不见,消失"
vapour,"n.汽,蒸气"
variable,"adj.易变的;n.变量"
variation,"n.变化,变动;变异"
variety,"n.多样化;种类;变种"
various,"adj.各种各样的,不同的"
vary,"v.改变;使多样化"
vast,"adj.巨大的;大量的"
vehicle,"n.车辆,机动车"
velocity,"n.速度,速率"
venture,"n&vi.冒险;v.敢于"
verify,"v.证实,查证;证明"
version,"n.译文;说法;改写本"
vertical,"adj.垂直的,竖式的"
vessel,"n.容器;船,飞船;管"
veteran,"n.老兵,老手"
via,"prep.经过;通过"
vibrate,"v.使颤动;v.颤动"
vice,"n.罪恶;恶习;缺点"
vigorous,"adj.朝气蓬勃的"
vinegar,"n.醋"
violent,"adj.猛烈的;狂暴的"
violet,"n.紫罗兰"
virtually,"adv.实际上,事实上"
virtue,"n.善;美德;优点"
visible,"adj.可见的,看得见的"
vision,"n.视;想象力;梦幻"
visual,"adj.看的;看得见的"
vital,"adj.生命的;有生命力的"
vitamin,"n.维生素,维他命"
vivid,"adj.鲜艳的;生动的"
volcano,"n.火山"
volt,"n.伏特,伏"
voltage,"n.电压"
volume,"n.卷,册;容积;音量"
voluntary,"adj.自愿的,志愿的"
voyage,"n&vi.航海,航空;n.字"
wage,"v.开展(运动)"
waggon,"n.四轮运货马车"
waken,"v.醒来;v.弄醒"
wander,"v.漫游;迷路;离题"
want,"n.需要;缺乏"
warmth,"n.暖和,温暖;热烈"
water,"n.水;v.使湿,灌溉"
waterproof,"adj.不透水的,防水的"
wave,"n.波;波涛;v.波动"
wax,"n.蜡,蜂蜡"
weaken,"v.削弱;v.变弱"
weakness,"n.虚弱,软弱;弱点"
wear,"v.磨损"
weave,"v.织,编;v.纺织"
weed,"n.杂草,野草;v.除草"
weep,"v.哭泣,流泪"
weld,"vt&n.焊接,熔接"
welfare,"n.幸福,福利"
wheat,"n.小麦"
wheel,"n.轮,车轮"
whilst,"conj&n.当…的时候"
whip,"v.鞭笞;搅打;n.鞭子"
whisper,"v.低声地讲;v.低语"
whistle,"n.口哨;v.吹口哨"
wholly,"adv.完全地,全部"
wicked,"adj.坏的;令人厌恶的"
widen,"v.加宽;v.变宽"
widow,"n.寡妇"
width,"n.宽阔,广阔;宽度"
willing,"adj.愿意的,心甘情愿的"
wind,"v.绕,缠绕;v.卷曲"
wing,"n.翼,翅膀,翅"
wire,"n.金属线;电缆;电信"
wit,"n.智力,才智,智能"
withdraw,"v.收回;撤回vi撤退"
withstand,"v.抵挡,反抗"
witness,"n.证据;证人;v.目击"
wooden,"adj.木制的;呆板的"
wool,"n.羊毛;毛线,绒线"
workman,"n.工人,劳动者,工匠"
workshop,"n.车间,工场;创作室"
worm,"n.虫,蠕虫"
worship,"n.礼拜;崇拜;v.崇拜"
worst,"adj.最坏的;adv.最坏地"
worth,"adj.值…的;n.价值"
worthless,"adj.无价值的,无用的"
worthwhile,"adj.值得花时间的"
worthy,"adj.有价值的;值得的"
wound,"n.创伤,伤;v.使受伤"
wrap,"v.裹,包,捆;n.披肩"
wreck,"n.失事;残骸;v.破坏"
wrist,"n.腕,腕关节"
yard,"n.院子,庭院;场地"
yawn,"v.打呵欠;n.呵欠"
yearly,"adj.每年的;adv.一年一度"
yield,"vt&vi.出产;n.产量"
youth,"n.青春;青年们;青年"
zone,"n.地区,区域,范围"
cancel,"vt.取消,撤销;删去"
explosive,"adj.爆炸的;极易引起争论的;n.炸药"
numerous,"adj.众多的"
govern,"vi.居支配地位,占优势;vt.统治,治理,支配"
analyse,"vt.分析;分解;解析"
discourage,"vt.使泄气,使灰心;阻止,劝阻"
resemble,"vt.像,类似于"
remote,"adj.遥远的;偏僻的;关系疏远的;脱离的;微乎其微的;孤高的,冷淡的;遥控的"
salary,"n.薪金,薪水"
pollution,"n.污染,污染物"
pretend,"vt.装作,假装"
kettle,"n.水壶"
wreck,"n.失事;残骸;精神或身体已垮的人;vt.破坏"
drunk,"adj.醉的;陶醉的"
calculate,"vt.计算;估计;计划"
persistent,"adj.坚持的,不屈不挠的;持续不断的;反复出现的"
sake,"n.缘故,理由"
conceal,"vt.把…隐藏起来,掩盖,隐瞒"
audience,"n.听众,观众,读者"
meanwhile,"adv.与此同时"
possess,"vt.占用,拥有"
competent,"adj.有能力的,能胜任的"
investment,"n.投资,投资额;投入"
neutral,"adj.中立的;中性的"
scratch,"v.抓,搔,扒;刮,擦;刻出;n.抓痕,划痕;抓,搔,刮"
optional,"adj.可以任选的"
require,"vt.需要;要求;命令"
circular,"adj.圆的;循环的;兜圈子的;n.通知,通告"
analysis,"n.分析,分析报告;分解;解析"
click,"v.发出咔嗒声;点击;n.咔嗒声"
fashionable,"adj.流行的,时髦的"
devise,"vt.设计,发明"
apparent,"adj.表面上的,明显的"
journalist,"n.新闻工作者,新闻记者"
exposure,"n.暴露,揭露;曝光"
temper,"n.韧度;心情,情绪;vt.调和,使缓和;【冶】使回火"
protective,"adj.保护的,防护的"
sideways,"adv&adj.从一边,向一边;在一边;斜着,侧身"
multicultural,"adj.融合多种文化的"
object,"vi.反对,不赞成;n.实物,物体;目的,目标;对象,客体;宾语"
humble,"adj.谦逊的;地位低下的;简陋的"
chapter,"n.章,回,篇"
harbour,"n.海港,港口;vt.庇护;心怀"
independent,"adj.独立的,自主的;无偏见的;不相关联的"
carriage,"n.客车厢,四轮马车"
cliff,"n.悬崖,峭壁"
infinite,"adj.无限的;无穷的"
concede,"vt.承认,承认…为真;承认失败;允许,让予;让步,认输"
elect,"vt.选举,推选;选择"
weekly,"adv.每周;adj.每周的"
result,"vi.发生;结果;n.结果;成果;比分"
golf,"n.高尔夫球运动"
selfish,"adj.自私的,利己的"
sexism,"n.性别偏见,性别歧视"
commission,"n.委任状;委员会;佣金,回扣;授权,委托;vt.委任,委托"
headline,"n.大字标题;新闻提要"
connect,"vt.连接,结合,联系;给…接通电话"
rational,"adj.理性的,理智的;合理的"
policy,"n.政策,方针;保险单"
editorial,"adj.编辑的,主笔的,编者的;社论的,社论式的;n.社论,重要评论"
resume,"vt.重新开始,继续,恢复;n.摘要,概要;简历"
rebuild,"v.重建,改造;复原"
committee,"n.委员会,全体委员"
namely,"adv.即,也就是"
artistic,"adj.艺术的,艺术家的;富有艺术性的,精美的;精彩的"
union,"n.工会,联盟;联合,团结;一致"
plentiful,"adj.丰富的,充足的;大量的"
halt,"vt.停止,立定;n.停住"
component,"adj.组成的,构成的;n.组成部分,部件,组件"
consultant,"n.顾问;会诊医师,专科医生"
sunset,"n.日落;晚霞"
obvious,"adj.明显的"
illustration,"n.说明,图解,例证"
disguise,"vt.假扮,化装,伪装;掩盖,掩饰;n.用来伪装的东西;伪装,掩饰"
wrap,"vt.裹,包,捆;n.披肩"
surgery,"n.外科,外科手术;手术室"
liberal,"adj.心胸宽大的,慷慨的;自由的,自由主义的"
violent,"adj.暴力引起的,暴力的;猛烈的,剧烈的"
harmony,"n.调和,协调,和谐"
resolve,"n&v.解决,解答;决定,决意"
chill,"v.变冷,感到冷;n.寒冷,寒气;风寒,寒战"
confront,"vt.迎面遇到,遭遇;勇敢地面对,正视;使对质,使当面对证"
dominate,"vi.拥有优势;vt.在…中占首要地位;支配,统治,控制;耸立于,俯视"
imitate,"vt.模仿,仿效,仿制"
faithful,"adj.忠诚的;如实的;尽职的"
reproduce,"v.复制,再现;繁殖,生殖"
institution,"n.协会;制度,习俗"
pad,"n.垫,衬垫;便笺本;发射台,直升机起落场;vt.填塞"
provocation,"n.激怒,刺激;挑衅,挑拨"
ambition,"n.雄心,抱负;野心;期望得到的东西"
scholarship,"n.奖学金;学问,学识"
exceed,"vt.超过,胜过,超出"
besides,"adv.而且;prep.除…之外"
preposition,"n.介词"
enlarge,"vt.扩大,扩展,放大"
implement,"n.工具,器具,用具;vt.使生效,履行,实施"
export,"vt.输出,出口;n.输出,出口;输出品,出口额"
Christ,"n.基督,救世主"
murder,"n.谋杀,凶杀;谋杀罪;v.谋杀;杀害"
pat,"adj.非常恰当的,适时的;n.轻拍"
fantasy,"n.想象,幻想;想象的产物"
horsepower,"n.马力"
visibility,"n.可见度,能见度;可见性,明显性"
invitation,"n.邀请,招待;请柬;吸引,诱惑"
paw,"v.用爪子抓,用蹄扒;翻找;n.爪子"
enormous,"adj.巨大的,庞大的"
moisture,"n.潮湿,湿气"
toast,"n.烤面包;祝酒,祝酒词;vt.烘,烤;向…祝酒,为…干杯"
frustrate,"vt.使沮丧,使灰心;挫败,使受挫折"
external,"adj.外部的,外面的"
aside,"adv.在旁边,到旁边"
circumstance,"n.情况,条件;境遇,境况;经济情况"
revise,"v.修订,修改;复习"
authority,"n.官方;权力;当权者,行政管理机构;权威,专家"
creature,"n.创造物,产物;生物,动物,家畜"
harm,"n&vt.伤害,损害"
semiconductor,"n.半导体"
rope,"n.绳,索;vt.用绳捆"
provided,"conj.假如,若是"
instrument,"n.仪器,工具;乐器"
gasoline,"n.汽油"
indispensable,"adj.必不可少的,必需的"
medium,"adj.中等的;n.媒体;媒介物,传导体"
lens,"n.透镜,镜片,镜头"
wisdom,"n.智慧,才智;名言"
fatal,"adj.致命的,命运的;重大的,决定性的"
nowhere,"adv.任何地方都不"
motive,"n.动机,目的"
romantic,"adj.浪漫的;多情的;有浪漫色彩的,传奇性的;不切实际的,空想的"
motivate,"vt.作为…的动机;激励,激发"
spoil,"v.损坏,糟蹋;宠坏,溺爱;变质;n.战利品,掠夺物"
airline,"n.航空公司;航线"
multiply,"vt.增加,繁殖;乘"
ridge,"n.脊,山脊;垄,埂,脊状突起"
pilot,"adj.试验性的,试点的;n.引航员;飞行员;vt.驾驶;为引航;试验,试用"
umbrella,"n.伞,雨伞"
approval,"n.赞成,同意,批准"
mobile,"adj.运动的;流动的;多变的"
perform,"vt.做,履行,完成;表演,演出;工作情况,表现"
multiple,"adj.复合的,多重的,多样的;n.倍数"
peak,"vi.达到高峰,达到最大值;adj.最大值的,高峰的;n.山顶,顶点"
evolution,"n.进化,演化,发展"
portrait,"n.肖像,画像"
halfway,"adv.半路地;在中途,在半途;adj.中途的;部分的;不彻底的"
expose,"vt.使接触;揭露"
concentrate,"v.全神贯注,全力以赴;集中,聚集;浓缩;n.浓缩物,浓缩液"
magnet,"n.磁铁,磁体;有吸引力的人或事物"
explosion,"n.爆炸,爆发,炸裂;激增,扩大"
weld,"n&vt.焊接,熔接"
up-to-date,"adj.直到最近的,现代的;跟上时代的"
complaint,"n.抱怨,怨言;控告"
translation,"n.翻译;译文,译本"
cancer,"n.癌,癌症;肿瘤"
personnel,"n.人员,员工"
hopeless,"adj.没有希望的,绝望的"
outlook,"n.观点,看法;展望,前景"
fountain,"n.泉水;喷泉;源泉"
offense,"n.犯规,违法行为;冒犯,得罪"
breadth,"n.宽度;幅度,幅面"
catalog,"n.目录,目录册;一系列;vt.将…编入目录,将编目"
channel,"n.海峡,水道,航道;渠道,途径;频道"
focus,"v.聚焦;集中;n.焦点;中心"
invisible,"adj.看不见的,无形的"
entire,"adj.全部的,整个的"
pea,"n.豌豆"
